occ	Longitude	Latitude	Current_bio_2	Current_bio_5	Current_bio_11	Current_bio_14	Future_bio02	Future_bio05	Future_bio11	Future_bio14
0	-117.400558	54.78507424	12.16008377	21.90800095	-9.89533329	20	11.60000038	24.5	-7.599999905	21.5
0	-124.900558	49.28507424	9.658916473	24.03800011	2.432833195	31	9.699999809	27.70000076	4.199999809	26
0	-113.900558	46.28507424	14.28566647	21.95499992	-6.749333382	23	14.19999981	26.60000038	-4.599999905	24.79999924
0	-111.900558	36.28507424	14.93125057	34.67200089	3.096333265	6	15.10000038	38.09999847	5.5	5.800000191
0	-123.400558	56.78507424	10.28999996	15.88199997	-11.89000034	31	9.699999809	18.60000038	-9.600000381	33.79999924
0	-140.900558	62.78507424	12.1619997	20.30200005	-23.54166603	10	11.5	22.89999962	-20.70000076	10.80000019
0	-132.900558	56.78507424	5.940437317	16.48360634	-1.417213082	138	5.800000191	20	0.899999976	141.3000031
0	-118.900558	34.28507424	14.76833344	31.16799927	12.63199997	0	14.89999962	33.70000076	14.5	0
0	-126.900558	53.28507424	9.761499405	17.83399963	-5.801333427	56	9.399999619	21.29999924	-3.700000048	54.5
0	-110.400558	35.28507424	17.76958275	33.10599899	1.881333351	6	17.89999962	36.5	4.300000191	6.5
0	-109.400558	38.28507424	15.51341629	32.11000061	-1.322499871	13	15.39999962	35.5	1.299999952	12.5
0	-134.400558	57.78507424	6.055166721	14.98499966	-3.577833414	129	5.800000191	17.60000038	-1.399999976	130.3000031
0	-118.400558	46.78507424	13.27325058	31.06500053	0.367999941	11	13.5	36.5	2.799999952	9
0	-114.900558	33.28507424	16.33566666	43.22000122	13.92883301	1	16.29999924	46	16	1
0	-138.400558	61.78507424	12.45941639	17.96699905	-20.4608326	9	11.69999981	20	-17.79999924	9.800000191
0	-113.400558	52.78507424	11.89941692	21.88500023	-10.88166714	17	11.39999962	25.29999924	-8.5	18
0	-113.900558	39.28507424	17.3453331	34.33399963	-1.223999977	8	17.29999924	38.09999847	1.399999976	8
0	-118.400558	40.28507424	17.89366722	34.35400009	0.587000072	6	17.89999962	38.09999847	3.200000048	5.800000191
0	-124.900558	52.78507424	14.13774967	18.2310009	-9.662500381	23	13.80000019	21.79999924	-7.5	24.29999924
0	-126.900558	54.78507424	10.6762495	18.26600075	-8.195333481	29	10.10000038	21.5	-6	30.79999924
0	-122.900558	41.28507424	14.9730835	27.25499916	1.376333237	10	15	30.20000076	3.200000048	9.800000191
0	-117.400558	35.78507424	15.32408333	39.94499969	8.98116684	2	15.39999962	43	11.19999981	2
0	-125.400558	50.78507424	9.679416656	18.35199928	-2.956500053	56	9.600000381	22.10000038	-1	48
0	-139.400558	59.78507424	8.196743011	14.8770113	-8.158620834	140	7.599999905	16	-6	141.3000031
0	-110.400558	38.78507424	18.07466698	36.25600052	-1.800833344	7	18	39.79999924	0.800000012	7.300000191
0	-108.900558	44.28507424	15.24258327	28.05999947	-4.984499931	8	15	31.89999962	-2.799999952	9.5
0	-120.400558	40.28507424	18.10358429	32.47700119	0.903999984	7	18	36.09999847	3.200000048	7
0	-114.400558	29.78507424	15.93974304	36.74871826	16.16623878	0	NA	NA	NA	NA
0	-115.900558	34.28507424	16.15258408	40.33599854	11.0170002	1	16.20000076	43.40000153	13.10000038	0.800000012
0	-126.900558	58.28507424	11.24950027	17.32699966	-14.83383369	21	10.69999981	20.5	-12.5	23
0	-123.900558	51.78507424	15.18716717	21.81800079	-8.520667076	17	14.89999962	25.89999962	-6.400000095	18.5
0	-120.400558	42.78507424	15.86166668	29.00499916	-0.426833302	14	16	33.29999924	1.799999952	14
0	-137.400558	61.28507424	11.68891621	16.03499985	-17.45166588	11	10.89999962	17.89999962	-14.89999962	11.80000019
0	-123.400558	49.78507424	7.629583359	19.13999939	-1.708500028	59	7.699999809	23.29999924	0.300000012	51.29999924
0	-141.400558	61.28507424	9.362333298	8.654999733	-17.89383316	37	8.800000191	10.60000038	-15.5	40.5
0	-110.400558	42.28507424	15.06458378	24.31999969	-8.176833153	19	14.80000019	28.10000038	-5.900000095	20.29999924
0	-109.400558	39.28507424	14.56591702	32.19499969	-1.810166717	18	14.30000019	35.59999847	0.699999988	17.29999924
0	-148.900558	64.78507424	11.60449982	23.06200027	-21.26449966	7	10.80000019	25	-17.29999924	7.800000191
0	-148.900558	63.28507424	9.388583183	15.76000023	-14.38000011	17	8.399999619	17.79999924	-10.69999981	18.79999924
0	-113.900558	51.28507424	12.76550007	22.36899948	-8.563666344	10	12.5	26.29999924	-6.400000095	11
0	-113.900558	39.78507424	14.23366642	26.48200035	-2.809000015	23	14.19999981	30.39999962	-0.200000003	23.79999924
0	-127.900558	56.78507424	10.47858334	16.27700043	-11.64116669	27	9.899999619	20.10000038	-9.399999619	29
0	-122.900558	52.28507424	13.52308369	21.38199997	-8.775166512	14	13.10000038	25.20000076	-6.699999809	15
0	-149.900558	59.78507424	6.323453426	12.52164936	-4.139518738	56	5.800000191	15.30000019	-1	62.5
0	-132.900558	59.78507424	10.16300011	17.11700058	-14.64716625	13	9.5	20.79999924	-12.19999981	13.80000019
0	-150.400558	61.28507424	9.45221138	19.33265305	-8.820407867	34	8.699999809	21.79999924	-5.199999809	37.29999924
0	-121.400558	50.78507424	11.18608379	23.01499939	-5.579833508	15	11	27.29999924	-3.5	16.5
0	-118.400558	52.78507424	10.11091614	14.75199986	-10.90133286	51	9.699999809	18.60000038	-8.899999619	55.29999924
0	-120.900558	55.78507424	10.71166706	21.37000084	-10.91699982	21	10.10000038	24	-8.600000381	23
0	-135.400558	61.78507424	13.0894165	20.42099953	-18.70983315	5	12.39999962	23.39999962	-16.10000038	5
0	-111.400558	37.78507424	14.88733387	32.64300156	0.027833303	10	14.89999962	36.20000076	2.700000048	9.5
0	-116.900558	52.28507424	11.96758366	14.88899994	-13.03366661	49	11.60000038	18.79999924	-11	55
0	-110.900558	54.28507424	11.76474953	22.8220005	-14.65666676	14	11.30000019	25.89999962	-12	15
0	-128.400558	58.28507424	10.70541668	15.96800041	-15.18483353	20	10.10000038	19.79999924	-12.89999962	21.29999924
